award_year,category,laureate_id
2018,Economic Sciences,969
2018,Literature,979
2018,Peace,966
2018,Peace,967
2018,Physics,960
2018,Physics,961
2018,Physics,962
2018,Physiology or Medicine,958
2018,Physiology or Medicine,959
2019,Chemistry,976
2019,Chemistry,977
2019,Chemistry,978
2019,Economic Sciences,982
2019,Economic Sciences,983
2019,Economic Sciences,984
2019,Literature,980
2019,Peace,981
2019,Physics,973
2019,Physics,974
2019,Physics,975
2019,Physiology or Medicine,970
2019,Physiology or Medicine,971
2019,Physiology or Medicine,972
2020,Chemistry,991
2020,Chemistry,992
2020,Economic Sciences,995
2020,Economic Sciences,996
2020,Literature,993
2020,Peace,994
2020,Physics,988
2020,Physics,989
2020,Physics,990
2020,Physiology or Medicine,985
2020,Physiology or Medicine,986
2020,Physiology or Medicine,987
2021,Chemistry,1002
2021,Chemistry,1003
2021,Economic Sciences,1007
2021,Economic Sciences,1008
2021,Economic Sciences,1009
2021,Literature,1004
2021,Peace,1005
2021,Peace,1006
2021,Physics,999
2021,Physics,1000
2021,Physics,1001
2021,Physiology or Medicine,997
2021,Physiology or Medicine,998
2022,Chemistry,1015
2022,Chemistry,1016
2022,Chemistry,743
2022,Economic Sciences,1021
2022,Economic Sciences,1022
2022,Economic Sciences,1023
2022,Literature,1017
2022,Peace,1018
2022,Peace,1019
2022,Peace,1020
2022,Physics,1012
2022,Physics,1013
2022,Physics,1014
2022,Physiology or Medicine,1011
2023,Chemistry,1029
2023,Chemistry,1030
2023,Chemistry,1031
2023,Economic Sciences,1034
2023,Literature,1032
2023,Peace,1033
2023,Physics,1026
2023,Physics,1027
2023,Physics,1028
2023,Physiology or Medicine,1024
2023,Physiology or Medicine,1025
